date,mean temperature,co2 (ppm)
4/6/1999,0.34,371.14
3/6/1999,0.34,369.59
2/6/1999,0.66,368.87
1/6/1999,0.48,368.15
12/6/1998,0.56,366.97
11/6/1998,0.5,365.46
10/6/1998,0.47,364.24
9/6/1998,0.45,363.9
8/6/1998,0.68,365.77
7/6/1998,0.71,367.64
6/6/1998,0.78,368.88
5/6/1998,0.71,369.3
4/6/1998,0.64,368.61
3/6/1998,0.63,367.31
2/6/1998,0.9,366.15
1/6/1998,0.61,365.33
12/6/1997,0.6,364.28
11/6/1997,0.66,362.43
10/6/1997,0.64,360.77
9/6/1997,0.56,360.19
8/6/1997,0.43,362.5
7/6/1997,0.35,364.47
6/6/1997,0.55,365.63
5/6/1997,0.39,366.8
4/6/1997,0.38,366.36
3/6/1997,0.52,364.56
2/6/1997,0.37,363.99
1/6/1997,0.33,363.18
12/6/1996,0.41,362.33
11/6/1996,0.42,360.76
10/6/1996,0.2,359.61
9/6/1996,0.27,359.45
8/6/1996,0.49,361.48
7/6/1996,0.37,363.65
6/6/1996,0.27,364.97
5/6/1996,0.3,365.41
4/6/1996,0.38,364.72
3/6/1996,0.34,364.02
2/6/1996,0.5,363.24
1/6/1996,0.27,362.05
12/6/1995,0.3,360.7
11/6/1995,0.45,359.56
10/6/1995,0.49,357.76
9/6/1995,0.34,358.05
8/6/1995,0.48,359.45
7/6/1995,0.49,361.9
6/6/1995,0.45,363.26
5/6/1995,0.29,363.8
4/6/1995,0.47,363.45
3/6/1995,0.45,361.64
2/6/1995,0.77,361
1/6/1995,0.5,359.97
12/6/1994,0.36,359.04
11/6/1994,0.46,357.58
10/6/1994,0.42,356
9/6/1994,0.32,355.84
8/6/1994,0.23,357.48
7/6/1994,0.32,359.55
6/6/1994,0.42,360.94
5/6/1994,0.29,361.69
4/6/1994,0.41,361.27
3/6/1994,0.26,359.97
2/6/1994,0.04,358.91
1/6/1994,0.3,358.37
12/6/1993,0.19,356.8
11/6/1993,0.07,355.33
10/6/1993,0.24,353.99
9/6/1993,0.11,353.69
8/6/1993,0.13,355.52
7/6/1993,0.28,357.57
6/6/1993,0.24,359.6
5/6/1993,0.26,360.28
4/6/1993,0.28,359.46
3/6/1993,0.36,358.38
2/6/1993,0.39,357.16
1/6/1993,0.37,356.7
12/6/1992,0.22,355.4
11/6/1992,0.04,354.16
10/6/1992,0.11,353.31
9/6/1992,0.01,353.01
8/6/1992,0.1,355
7/6/1992,0.13,357.02
6/6/1992,0.24,359.25
5/6/1992,0.32,359.66
4/6/1992,0.24,359.15
3/6/1992,0.47,357.81
2/6/1992,0.42,356.72
1/6/1992,0.45,355.99
12/6/1991,0.33,354.99
11/6/1991,0.31,353.75
10/6/1991,0.32,352.21
9/6/1991,0.5,352.15
8/6/1991,0.42,354.02
7/6/1991,0.51,356.17
6/6/1991,0.54,358.24
5/6/1991,0.39,359.34
4/6/1991,0.53,358.6
3/6/1991,0.36,357.16
2/6/1991,0.51,355.75
1/6/1991,0.42,354.72
12/6/1990,0.42,354.21
11/6/1990,0.46,352.83
10/6/1990,0.43,351.18
9/6/1990,0.3,350.96
8/6/1990,0.3,352.91
7/6/1990,0.44,354.81
6/6/1990,0.38,356.23
5/6/1990,0.46,357.16
4/6/1990,0.55,356.2
3/6/1990,0.76,355.38
2/6/1990,0.41,354.7
1/6/1990,0.41,353.66
12/6/1989,0.37,352.52
11/6/1989,0.21,351.29
10/6/1989,0.32,349.99
9/6/1989,0.37,349.8
8/6/1989,0.36,351.67
7/6/1989,0.34,353.9
6/6/1989,0.15,355.12
5/6/1989,0.17,355.67
4/6/1989,0.33,355.42
3/6/1989,0.36,353.68
2/6/1989,0.35,353.07
1/6/1989,0.16,352.76
12/6/1988,0.34,351.34
11/6/1988,0.13,350.07
10/6/1988,0.4,348.88
9/6/1988,0.42,348.73
8/6/1988,0.46,350.43
7/6/1988,0.35,352.38
6/6/1988,0.42,353.79
5/6/1988,0.44,354.22
4/6/1988,0.45,353.59
3/6/1988,0.49,352.22
2/6/1988,0.42,351.73
1/6/1988,0.57,350.43
12/6/1987,0.47,348.96
11/6/1987,0.25,347.81
10/6/1987,0.32,346.36
9/6/1987,0.39,346.45
8/6/1987,0.28,348.1
7/6/1987,0.46,349.51
6/6/1987,0.36,351.26
5/6/1987,0.26,351.85
4/6/1987,0.24,350.99
3/6/1987,0.17,349.41
2/6/1987,0.46,348.47
1/6/1987,0.36,348.02
12/6/1986,0.16,346.9
11/6/1986,0.11,345.66
10/6/1986,0.14,344.17
9/6/1986,0.02,344.85
8/6/1986,0.12,345.9
7/6/1986,0.13,347.94
6/6/1986,0.12,349.55
5/6/1986,0.26,350.21
4/6/1986,0.26,349.55
3/6/1986,0.29,347.85
2/6/1986,0.39,346.95
1/6/1986,0.3,346.3
12/6/1985,0.15,345.56
11/6/1985,0.09,344.24
10/6/1985,0.11,342.8
9/6/1985,0.14,343.09
8/6/1985,0.15,344.68
7/6/1985,0,346.56
6/6/1985,0.17,348.25
5/6/1985,0.17,348.93
4/6/1985,0.11,348.35
3/6/1985,0.17,347.43
2/6/1985,-0.06,345.99
1/6/1985,0.21,344.97
12/6/1984,-0.06,344.22
11/6/1984,0.04,342.98
10/6/1984,0.15,341.35
9/6/1984,0.2,341.07
8/6/1984,0.15,343.28
7/6/1984,0.16,345.39
6/6/1984,0.04,346.8
5/6/1984,0.33,347.43
4/6/1984,0.08,347.07
3/6/1984,0.29,345.28
2/6/1984,0.17,344.5
1/6/1984,0.3,343.7
12/6/1983,0.17,342.99
11/6/1983,0.3,341.15
10/6/1983,0.15,339.99
9/6/1983,0.38,339.87
8/6/1983,0.3,342.38
7/6/1983,0.15,343.98
6/6/1983,0.18,345.32
5/6/1983,0.35,345.76
4/6/1983,0.3,344.94
3/6/1983,0.42,343.1
2/6/1983,0.4,342.52
1/6/1983,0.52,341.38
12/6/1982,0.43,340.49
11/6/1982,0.14,339.26
10/6/1982,0.13,337.86
9/6/1982,0.15,337.98
8/6/1982,0.08,339.81
7/6/1982,0.13,342.06
6/6/1982,0.05,343.35
5/6/1982,0.16,344.14
4/6/1982,0.1,343.57
3/6/1982,-0.01,342.7
2/6/1982,0.14,341.61
1/6/1982,0.09,340.75
12/6/1981,0.4,339.61
11/6/1981,0.21,338.36
10/6/1981,0.13,336.86
9/6/1981,0.17,336.69
8/6/1981,0.35,338.43
7/6/1981,0.35,340.49
6/6/1981,0.31,342.25
5/6/1981,0.25,342.91
4/6/1981,0.32,342.51
3/6/1981,0.48,341.38
2/6/1981,0.41,340.48
1/6/1981,0.56,339.24
12/6/1980,0.21,338.21
11/6/1980,0.3,337.1
10/6/1980,0.2,336.02
9/6/1980,0.21,335.88
8/6/1980,0.24,337.6
7/6/1980,0.28,339.56
6/6/1980,0.16,341.17
5/6/1980,0.34,341.47
4/6/1980,0.32,340.77
3/6/1980,0.29,340.07
2/6/1980,0.42,338.36
1/6/1980,0.3,338.01
12/6/1979,0.47,336.73
11/6/1979,0.29,335.29
10/6/1979,0.26,333.86
9/6/1979,0.27,333.92
8/6/1979,0.14,336.08
7/6/1979,0.03,337.73
6/6/1979,0.14,339.29
5/6/1979,0.06,339.47
4/6/1979,0.13,338.89
3/6/1979,0.19,337.96
2/6/1979,-0.09,336.76
1/6/1979,0.14,336.23
12/6/1978,0.11,334.95
11/6/1978,0.16,333.92
10/6/1978,0,332.55
9/6/1978,0.05,332.76
8/6/1978,-0.18,334.68
7/6/1978,0.07,336.54
6/6/1978,-0.03,337.89
5/6/1978,0.07,338.01
4/6/1978,0.15,337.76
3/6/1978,0.21,336.64
2/6/1978,0.14,335.38
1/6/1978,0.08,334.97
12/6/1977,0.05,333.85
11/6/1977,0.2,332.4
10/6/1977,0.04,331.16
9/6/1977,0.02,331.59
8/6/1977,0.19,332.75
7/6/1977,0.23,334.92
6/6/1977,0.25,336.27
5/6/1977,0.3,336.75
4/6/1977,0.27,336.07
3/6/1977,0.25,334.7
2/6/1977,0.2,333.42
1/6/1977,0.18,332.93
12/6/1976,0.09,331.68
11/6/1976,-0.06,330.31
10/6/1976,-0.26,328.94
9/6/1976,-0.09,329.3
8/6/1976,-0.18,330.94
7/6/1976,-0.12,333.05
6/6/1976,-0.15,334.34
5/6/1976,-0.23,334.88
4/6/1976,-0.1,334.58
3/6/1976,-0.21,333.5
2/6/1976,-0.06,332.56
1/6/1976,0,331.75
12/6/1975,-0.17,330.76
11/6/1975,-0.16,329.49
10/6/1975,-0.09,328.34
9/6/1975,-0.03,328.56
8/6/1975,-0.2,330.06
7/6/1975,-0.03,331.9
6/6/1975,-0.02,333.6
5/6/1975,0.16,333.97
4/6/1975,0.06,333.31
3/6/1975,0.14,332.04
2/6/1975,0.07,331.4
1/6/1975,0.07,330.4
12/6/1974,-0.09,329.57
11/6/1974,-0.07,328.46
10/6/1974,-0.07,327.37
9/6/1974,-0.12,327.43
8/6/1974,0.12,329.39
7/6/1974,-0.03,331.18
6/6/1974,-0.05,332.25
5/6/1974,-0.01,333.09
4/6/1974,-0.1,332.65
3/6/1974,-0.05,331.48
2/6/1974,-0.28,330.71
1/6/1974,-0.14,329.35
12/6/1973,-0.06,328.64
11/6/1973,0.06,328.16
10/6/1973,0.12,327.18
9/6/1973,0.06,327.51
8/6/1973,0.02,329.31
7/6/1973,0.09,330.87
6/6/1973,0.16,332.07
5/6/1973,0.26,332.48
4/6/1973,0.25,331.5
3/6/1973,0.26,330.3
2/6/1973,0.3,329.56
1/6/1973,0.28,328.55
12/6/1972,0.18,327.55
11/6/1972,0.03,326.5
10/6/1972,0.09,325.2
9/6/1972,0.03,324.84
8/6/1972,0.18,326.32
7/6/1972,0.02,328.04
6/6/1972,0.04,329.09
5/6/1972,-0.03,330.07
4/6/1972,-0.01,329.73
3/6/1972,0.02,327.75
2/6/1972,-0.17,327.63
1/6/1972,-0.24,326.77
12/6/1971,-0.08,326.01
11/6/1971,-0.04,324.8
10/6/1971,-0.05,323.57
9/6/1971,-0.01,323.36
8/6/1971,-0.03,325.43
7/6/1971,-0.12,327.36
6/6/1971,-0.18,328.57
5/6/1971,-0.06,328.92
4/6/1971,-0.09,327.79
3/6/1971,-0.18,327.17
2/6/1971,-0.2,326.68
1/6/1971,-0.02,326.17
12/6/1970,-0.13,325.13
11/6/1970,0.01,324.01
10/6/1970,0.05,323.07
9/6/1970,0.11,323.1
8/6/1970,-0.11,324.69
7/6/1970,-0.04,326.34
